intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
9304000,0.021896143934669286,0.9752620545073375,0.021896143934669286,0.008374621538741904,6.717325881341359,6.0,5.883694395959741,/dev/fd/63,"GCF_000013645.1 Paraburkholderia xenovorans LB400 strain=LB400, ASM1364v1",ee9cb05018009af43429e83e7d502a0a,0.9752620545073375,9304000,0,415611000,outputs.paper/trim/SRR606249.trim.fq.gz,SRR606249,1b1b1d8e954aa9b36214fcaddf05c178,424915000,31,dna,1000,424915,true,0.8840228124268892,0.9991922918479889,0.941607552137439,0.9991922918479889,62498,62498,7462785
5063000,0.011915324241318852,0.9921599372794982,0.01233274536364788,0.010281818382815531,15.158237850651917,14.0,9.786098836558088,/dev/fd/63,"GCF_000016425.1 Salinispora tropica CNB-440 strain=CNB-440, ASM1642v1",e41c93cc239f49bd10ebd38dfd343075,0.9923559388475108,5062000,2,405390000,outputs.paper/trim/SRR606249.trim.fq.gz,SRR606249,1b1b1d8e954aa9b36214fcaddf05c178,424915000,31,dna,1000,424915,true,0.867803270906568,0.9997461303723912,0.9337747006394796,0.9997461303723912,76731,195081,7462785
5165000,0.012155372250920773,0.9726621417797888,0.012413049702726829,0.00748406928512613,10.826129094785811,9.0,8.882588339839113,/dev/fd/63,"GCF_000195675.1 Bordetella bronchiseptica RB50 strain=RB50, ASM19567v1",4d260a2e768d27ef2e2ec65bc61f4a57,0.9737933634992458,5159000,1,410452000,outputs.paper/trim/SRR606249.trim.fq.gz,SRR606249,1b1b1d8e954aa9b36214fcaddf05c178,424915000,31,dna,1000,424915,true,0.8679849789589316,0.9991062547696533,0.9335456168642924,0.9991062547696533,55852,118350,7462785
4529000,0.010658602308697033,0.7250127703047846,0.010888131987275871,0.007956815049609496,13.938967136150234,13.0,8.044887733927816,/dev/fd/63,"GCF_000373845.1 Salinispora arenicola CNS673 strain=CNS673, ASM37384v1",5ce6c06fa71720b366c72138a273d4fe,0.7711561382598331,4258000,6,386810000,outputs.paper/trim/SRR606249.trim.fq.gz,SRR606249,1b1b1d8e954aa9b36214fcaddf05c178,424915000,31,dna,1000,424915,true,0.8643226924523896,0.9896805179279426,0.9270016051901662,0.9896805179279426,59380,510391,7462785
4530000,0.010660955720555875,0.9899453551912568,0.011448519579268802,0.005693852898080274,9.382203576948553,8.0,9.626422358316153,/dev/fd/63,"GCF_000011965.2 Ruegeria pomeroyi DSS-3 strain=DSS-3, ASM1196v2",357c0e8c59953384de1f6c7605a60317,0.9901639344262295,4529000,5,391068000,outputs.paper/trim/SRR606249.trim.fq.gz,SRR606249,1b1b1d8e954aa9b36214fcaddf05c178,424915000,31,dna,1000,424915,true,0.8657231095233097,0.9996740681546376,0.9326985888389736,0.9996740681546376,42492,451011,7462785
5050000,0.0118847298871539,1.0,0.01245714003798811,0.017080084713682626,25.24059405940594,25.0,8.858297874380392,/dev/fd/63,"GCF_000018865.1 Chloroflexus aurantiacus J-10-fl strain=J-10-fl, ASM1886v1",dfa50aeabf6119ce79f0df1cf8158008,1.0,5050000,3,400340000,outputs.paper/trim/SRR606249.trim.fq.gz,SRR606249,1b1b1d8e954aa9b36214fcaddf05c178,424915000,31,dna,1000,424915,true,0.8680842608647833,1.0,0.9340421304323916,1.0,127465,322546,7462785
3203000,0.0075379781838720685,0.9852171234986141,0.008270252942028086,0.0064119494263870655,14.944097439100561,12.0,17.304534265162005,/dev/fd/63,"GCF_020546685.1 Deinococcus radiodurans ATCC 13939 strain=ATCC 13939, ASM2054668v1",5164cdbb6aabe74311ef1c55aed103b8,0.9864490298737296,3199000,7,383609000,outputs.paper/trim/SRR606249.trim.fq.gz,SRR606249,1b1b1d8e954aa9b36214fcaddf05c178,424915000,31,dna,1000,424915,true,0.856688992731889,0.9995196885428413,0.9281043406373652,0.9995196885428413,47851,558242,7462785
4754000,0.011188119976936564,0.9860648918469218,0.011842433931158516,0.011520230048165665,18.12629137676576,16.0,11.954948740218828,/dev/fd/63,"GCF_000019785.1 Leptothrix cholodnii SP-6 strain=SP-6, ASM1978v1",0f774696d30402cc9416e4339e29d022,0.9887687188019967,4741000,4,395599000,outputs.paper/trim/SRR606249.trim.fq.gz,SRR606249,1b1b1d8e954aa9b36214fcaddf05c178,424915000,31,dna,1000,424915,true,0.8666683455055784,0.9995474213700083,0.9331078834377933,0.9995474213700083,85973,408519,7462785
4473000,0.010526811244601862,0.026336173508907823,0.00044339652168469813,0.0008354789800322533,14.880668257756563,13.0,8.202978883344242,/dev/fd/63,"GCA_011765705.1 Salinispora arenicola strain=BRA 172, ASM1176570v1",8e4e26b33e130b40fd96a9f2692d164b,0.6929512006196746,170000,9,383234000,outputs.paper/trim/SRR606249.trim.fq.gz,SRR606249,1b1b1d8e954aa9b36214fcaddf05c178,424915000,31,dna,1000,424915,true,0.7795285201525102,0.8893036734948173,0.8344160968236638,0.8893036734948173,6235,564740,7462785
207000,0.00048715625478036785,0.04294871794871795,0.0005239751203057303,0.000035241535164151184,1.301980198019802,1.0,0.6470772365822579,/dev/fd/63,"GCF_002799245.1 Stenotrophomonas maltophilia strain=EA1, ASM279924v1",03c6e78f14ab8af588f748653db2d6fb,0.04423076923076923,201000,8,383405000,outputs.paper/trim/SRR606249.trim.fq.gz,SRR606249,1b1b1d8e954aa9b36214fcaddf05c178,424915000,31,dna,1000,424915,true,0.783738735393445,0.9034447936570742,0.8435917645252595,0.9034447936570742,263,558505,7462785
